"Date","Excel Time","CT Enable (2)","CT Enable (3)","CT Enable (4)","CT Enable (5)","CT Enable (6)","CT Enable (7)","CT Enable (8)","CT Enable (9)","CT Enable"
"7/5/2018 02:46:05.400 AM PDT","43286.11534027778","","","0","","","","","",""
"7/5/2018 02:46:05.450 AM PDT","43286.115340856486","","","","0","","","","",""
"7/5/2018 02:57:58.330 AM PDT","43286.12359178241","","","","","1","","","",""
"7/5/2018 02:57:58.340 AM PDT","43286.12359189815","","","","","","","","1",""
"7/5/2018 02:57:58.570 AM PDT","43286.12359456018","","","","","","","","","1"
"7/5/2018 02:57:58.610 AM PDT","43286.12359502315","1","","","","","","","",""
"7/5/2018 02:57:58.680 AM PDT","43286.123595833335","","","1","","","","","",""
"7/5/2018 02:57:58.720 AM PDT","43286.1235962963","","","","1","","","","",""
"7/5/2018 02:58:04.300 AM PDT","43286.12366087963","","","","","","1","1","",""
"7/5/2018 02:58:04.590 AM PDT","43286.12366423611","","1","","","","","","",""
"7/5/2018 04:31:13.050 AM PDT","43286.18834548611","","","","","0","0","","",""
"7/5/2018 04:31:13.060 AM PDT","43286.188345601855","","","","","","","0","0",""
"7/5/2018 04:31:13.300 AM PDT","43286.18834837963","","","","","","","","","0"
"7/5/2018 04:31:13.340 AM PDT","43286.188348842596","0","","","","","","","",""
"7/5/2018 04:31:13.370 AM PDT","43286.18834918982","","0","","","","","","",""
"7/5/2018 04:31:13.410 AM PDT","43286.18834965277","","","0","","","","","",""
"7/5/2018 04:31:13.460 AM PDT","43286.18835023148","","","","0","","","","",""
"7/5/2018 06:02:26.880 PM PDT","43286.7517","","","","","","","","1",""
"7/5/2018 06:02:26.880 PM PDT","43286.7517","","","","","","","","1",""
"7/5/2018 06:02:26.960 PM PDT","43286.751700925925","","","","","1","","","",""
"7/5/2018 06:02:26.960 PM PDT","43286.751700925925","","","","","1","","","",""
"7/5/2018 06:02:27.830 PM PDT","43286.75171099537","","","","","","","","","1"
"7/5/2018 06:02:27.870 PM PDT","43286.75171145833","1","","","","","","","",""
"7/5/2018 06:02:27.950 PM PDT","43286.751712384255","","","1","","","","","",""
"7/5/2018 06:02:27.990 PM PDT","43286.751712847225","","","","1","","","","",""
"7/5/2018 06:02:32.970 PM PDT","43286.75177048611","","","","","","1","","",""
"7/5/2018 06:02:32.980 PM PDT","43286.751770601855","","","","","","","1","",""
"7/5/2018 06:02:33.930 PM PDT","43286.751781597224","","1","","","","","","",""
"7/5/2018 09:16:32.040 PM PDT","43286.88648194444","","","","","0","","","",""
"7/5/2018 09:16:32.050 PM PDT","43286.88648206019","","","","","","0","0","0",""
"7/5/2018 09:16:33.100 PM PDT","43286.88649421296","","","","","","","","","0"
"7/5/2018 09:16:33.140 PM PDT","43286.88649467593","0","","","","","","","",""
"7/5/2018 09:16:33.180 PM PDT","43286.88649513889","","0","","","","","","",""
